,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,62.42,69.0,75.0,3.0,US,1635531231.0
1,santa cruz cabralia,-16.2781,-39.0247,80.83,65.0,40.0,9.22,BR,1635531137.0
2,jeremoabo,-10.075,-38.4808,79.61,63.0,87.0,9.17,BR,1635531256.0
3,zakamensk,50.3741,103.2863,27.84,89.0,15.0,2.26,RU,1635531257.0
5,avarua,-21.2078,-159.775,75.25,69.0,12.0,8.05,CK,1635531202.0
6,barrow,71.2906,-156.7887,-5.78,77.0,1.0,10.36,US,1635531206.0
7,east london,-33.0153,27.9116,65.39,83.0,80.0,15.88,ZA,1635531181.0
8,hermanus,-34.4187,19.2345,62.91,88.0,69.0,8.46,ZA,1635531195.0
9,chokurdakh,70.6333,147.9167,-15.92,98.0,99.0,3.38,RU,1635531198.0
10,wellington,-41.2866,174.7756,58.77,93.0,90.0,1.14,NZ,1635531257.0
12,rikitea,-23.1203,-134.9692,75.4,76.0,100.0,18.66,PF,1635531162.0
13,burgersdorp,-30.9977,26.3286,61.12,31.0,27.0,11.5,ZA,1635531258.0
14,verkhoyansk,67.5447,133.385,7.99,95.0,100.0,2.98,RU,1635531258.0
15,vila velha,-20.3297,-40.2925,80.55,69.0,75.0,11.5,BR,1635531177.0
16,atuona,-9.8,-139.0333,77.94,69.0,75.0,12.35,PF,1635531162.0
17,port hardy,50.6996,-127.4199,46.27,73.0,14.0,18.14,CA,1635531259.0
18,pevek,69.7008,170.3133,-1.93,96.0,98.0,2.64,RU,1635531200.0
20,dikson,73.5069,80.5464,6.66,86.0,100.0,15.75,RU,1635531211.0
21,cidreira,-30.1811,-50.2056,71.42,77.0,100.0,19.77,BR,1635531192.0
22,havoysund,70.9963,24.6622,40.08,67.0,100.0,31.88,NO,1635531260.0
24,mataura,-46.1927,168.8643,48.04,99.0,85.0,3.33,NZ,1635530886.0
25,torbay,47.6666,-52.7314,41.4,92.0,100.0,18.01,CA,1635531183.0
26,alice springs,-23.7,133.8833,62.15,34.0,21.0,6.91,AU,1635531260.0
27,mar del plata,-38.0023,-57.5575,69.82,92.0,0.0,18.01,AR,1635530943.0
28,puerto colombia,10.9878,-74.9547,80.69,86.0,100.0,11.14,CO,1635531058.0
29,neepawa,50.2289,-99.4664,46.81,40.0,88.0,13.56,CA,1635531261.0
30,tuktoyaktuk,69.4541,-133.0374,21.31,93.0,100.0,4.47,CA,1635530901.0
31,goure,13.9835,10.2704,90.01,10.0,98.0,9.44,NE,1635531261.0
32,castro,-24.7911,-50.0119,70.52,71.0,97.0,6.33,BR,1635531186.0
33,vila,42.0304,-8.1588,48.33,93.0,100.0,5.19,PT,1635531262.0
34,georgetown,5.4112,100.3354,82.33,89.0,20.0,2.3,MY,1635531080.0
35,new norfolk,-42.7826,147.0587,44.1,71.0,39.0,1.99,AU,1635531259.0
36,coquimbo,-29.9533,-71.3436,62.33,67.0,40.0,14.97,CL,1635531230.0
37,sola,-13.8833,167.55,81.32,74.0,63.0,15.39,VU,1635531262.0
38,qaanaaq,77.484,-69.3632,12.74,69.0,74.0,7.85,GL,1635531170.0
39,cape town,-33.9258,18.4232,66.09,70.0,58.0,1.99,ZA,1635531092.0
40,dimovo,43.7417,22.7269,53.6,64.0,0.0,5.48,BG,1635531263.0
41,twin falls,42.3505,-114.6445,62.94,45.0,1.0,17.27,US,1635531263.0
42,mahebourg,-20.4081,57.7,74.25,77.0,73.0,6.8,MU,1635531222.0
43,upernavik,72.7868,-56.1549,19.24,60.0,20.0,6.44,GL,1635531223.0
44,hithadhoo,-0.6,73.0833,83.77,72.0,68.0,13.24,MV,1635531167.0
45,busselton,-33.65,115.3333,46.04,82.0,7.0,8.01,AU,1635531185.0
46,punta arenas,-53.15,-70.9167,50.02,53.0,75.0,27.63,CL,1635531264.0
47,flinders,-34.5833,150.8552,60.8,70.0,10.0,10.07,AU,1635531264.0
48,husavik,66.0449,-17.3389,40.55,99.0,100.0,3.33,IS,1635531258.0
49,bolitoc,15.7395,119.8769,77.68,78.0,6.0,5.41,PH,1635531264.0
50,saldanha,-33.0117,17.9442,62.82,89.0,0.0,7.61,ZA,1635531209.0
51,nikolskoye,59.7035,30.7861,53.87,85.0,45.0,8.97,RU,1635531197.0
52,kavaratti,10.5669,72.642,82.33,71.0,99.0,3.27,IN,1635531166.0
54,thompson,55.7435,-97.8558,42.24,72.0,74.0,7.96,CA,1635531211.0
55,pontianak,-0.0333,109.3333,76.98,94.0,90.0,3.44,ID,1635531265.0
57,bredasdorp,-34.5322,20.0403,61.29,84.0,54.0,11.03,ZA,1635531164.0
58,leningradskiy,69.3833,178.4167,-12.03,94.0,23.0,5.35,RU,1635531229.0
59,hilo,19.7297,-155.09,76.24,69.0,1.0,5.75,US,1635531161.0
61,talnakh,69.4865,88.3972,14.25,95.0,100.0,8.63,RU,1635531227.0
62,vao,-22.6667,167.4833,70.34,73.0,4.0,12.44,NC,1635531266.0
63,kapaa,22.0752,-159.319,76.98,96.0,90.0,6.91,US,1635530897.0
64,rawson,-43.3002,-65.1023,73.94,27.0,99.0,10.47,AR,1635531049.0
65,sao joao da barra,-21.6403,-41.0511,73.49,92.0,100.0,11.5,BR,1635531267.0
66,cantagalo,-21.9811,-42.3681,66.61,91.0,100.0,2.17,BR,1635531267.0
67,gamba,-2.65,10.0,76.95,89.0,100.0,4.81,GA,1635531268.0
69,vaini,-21.2,-175.2,71.76,94.0,75.0,4.61,TO,1635530880.0
70,ponta do sol,32.6667,-17.1,77.0,69.0,98.0,9.78,PT,1635531227.0
71,egvekinot,66.3167,-179.1667,-1.35,96.0,98.0,1.5,RU,1635531269.0
72,emerald,-23.5333,148.1667,72.99,50.0,92.0,9.35,AU,1635531269.0
73,qaqortoq,60.7167,-46.0333,34.3,80.0,98.0,1.3,GL,1635531269.0
74,vestmannaeyjar,63.4427,-20.2734,47.39,87.0,75.0,23.02,IS,1635531255.0
75,bataipora,-22.2953,-53.2711,90.45,44.0,18.0,5.7,BR,1635531245.0
76,emmett,43.8735,-116.4993,65.98,47.0,97.0,12.53,US,1635531270.0
77,hammerfest,70.6634,23.6821,40.73,75.0,75.0,25.32,NO,1635531188.0
78,kodiak,57.79,-152.4072,38.86,67.0,100.0,20.11,US,1635531166.0
79,carnarvon,-24.8667,113.6333,64.47,72.0,0.0,17.27,AU,1635531189.0
80,bozeman,45.6796,-111.0386,62.02,42.0,20.0,4.0,US,1635531092.0
81,mount isa,-20.7333,139.5,73.17,88.0,89.0,6.91,AU,1635530922.0
82,tasiilaq,65.6145,-37.6368,26.76,77.0,72.0,4.92,GL,1635531190.0
83,kununurra,-15.7667,128.7333,82.38,74.0,23.0,5.75,AU,1635531270.0
84,hobart,-42.8794,147.3294,44.46,69.0,90.0,1.01,AU,1635531189.0
85,lebu,-37.6167,-73.65,58.39,69.0,85.0,17.56,CL,1635531163.0
86,albany,42.6001,-73.9662,56.39,67.0,22.0,3.0,US,1635531073.0
88,lasa,46.6166,10.7002,50.74,71.0,78.0,4.38,IT,1635531271.0
89,tazovskiy,67.4667,78.7,27.91,97.0,100.0,11.63,RU,1635531272.0
90,butaritari,3.0707,172.7902,83.05,70.0,2.0,15.88,KI,1635531199.0
91,makakilo city,21.3469,-158.0858,78.28,77.0,40.0,4.61,US,1635531272.0
92,vanimo,-2.6741,141.3028,77.25,90.0,69.0,2.62,PG,1635531272.0
94,fatsa,41.0278,37.5014,55.2,78.0,90.0,2.73,TR,1635531273.0
96,akhmim,26.5622,31.745,82.06,24.0,6.0,7.94,EG,1635531257.0
97,cherskiy,68.75,161.3,-18.17,97.0,92.0,0.09,RU,1635531242.0
98,arraial do cabo,-22.9661,-42.0278,69.66,94.0,90.0,11.5,BR,1635531056.0
99,manono,-7.3,27.4167,73.96,79.0,22.0,4.03,CD,1635531273.0
100,adeje,28.1227,-16.726,71.51,58.0,20.0,14.97,ES,1635531274.0
101,port alfred,-33.5906,26.891,64.47,77.0,64.0,17.09,ZA,1635530878.0
102,avera,33.194,-82.5271,65.71,59.0,87.0,14.14,US,1635531217.0
103,mayo,38.8876,-76.5119,63.34,94.0,90.0,18.99,US,1635531210.0
104,cutler ridge,25.5783,-80.3377,86.0,63.0,90.0,1.99,US,1635531274.0
105,ushuaia,-54.8,-68.3,51.42,53.0,40.0,29.93,AR,1635530870.0
106,kruisfontein,-34.0033,24.7314,58.89,76.0,47.0,11.56,ZA,1635531208.0
107,kahului,20.8947,-156.47,78.84,79.0,20.0,5.75,US,1635531275.0
108,luanda,-8.8368,13.2343,77.0,88.0,40.0,6.91,AO,1635531271.0
109,abu samrah,35.3029,37.1841,67.73,53.0,96.0,6.24,SY,1635531275.0
110,taltal,-25.4,-70.4833,67.35,59.0,11.0,5.23,CL,1635531276.0
111,riverton,40.5219,-111.9391,65.8,54.0,1.0,1.01,US,1635531006.0
112,shieli,44.1667,66.75,43.81,58.0,2.0,5.3,KZ,1635531276.0
113,villa carlos paz,-31.4241,-64.4978,90.68,29.0,100.0,11.01,AR,1635531277.0
115,faya,18.3851,42.4509,63.12,30.0,98.0,11.39,SA,1635531163.0
117,saskylakh,71.9167,114.0833,-13.02,97.0,76.0,7.83,RU,1635531225.0
118,narsaq,60.9167,-46.05,34.02,75.0,96.0,2.17,GL,1635531181.0
119,yagodnoye,62.55,149.6667,-4.7,89.0,17.0,6.2,RU,1635531277.0
120,ribeira grande,38.5167,-28.7,70.2,94.0,75.0,14.97,PT,1635531180.0
121,chumikan,54.7183,135.315,31.77,94.0,99.0,10.07,RU,1635531278.0
122,khetia,21.6667,74.5833,72.59,43.0,48.0,4.09,IN,1635531278.0
123,evensk,61.95,159.2333,9.66,90.0,79.0,7.27,RU,1635531279.0
124,puerto ayora,-0.7393,-90.3518,80.56,82.0,90.0,10.56,EC,1635530906.0
126,peace river,56.2501,-117.286,37.44,50.0,15.0,5.95,CA,1635531279.0
