,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,64.42,50.0,0.0,4.0,AR,1635199132.0
1,koslan,63.4564,48.8989,28.33,87.0,100.0,0.87,RU,1635199132.0
2,katsuura,35.1333,140.3,57.22,94.0,100.0,24.7,JP,1635199048.0
3,itambacuri,-18.0311,-41.685,70.84,95.0,97.0,3.76,BR,1635199133.0
5,ushuaia,-54.8,-68.3,33.46,93.0,40.0,21.85,AR,1635198966.0
6,tateyama,34.9833,139.8667,57.13,88.0,75.0,27.63,JP,1635199133.0
7,naples,40.8333,14.25,65.28,76.0,20.0,5.99,IT,1635199050.0
8,mataura,-46.1927,168.8643,62.76,70.0,89.0,1.99,NZ,1635199134.0
9,albany,42.6001,-73.9662,55.94,90.0,100.0,3.27,US,1635198846.0
11,baiyin,36.5583,104.2081,40.08,71.0,99.0,2.04,CN,1635199134.0
12,nantong,32.0303,120.8747,57.99,78.0,49.0,4.7,CN,1635199134.0
13,taltal,-25.4,-70.4833,62.55,70.0,23.0,3.85,CL,1635199135.0
14,thompson,55.7435,-97.8558,41.16,65.0,75.0,4.61,CA,1635199014.0
15,hithadhoo,-0.6,73.0833,83.03,71.0,87.0,16.71,MV,1635198988.0
16,rio gallegos,-51.6226,-69.2181,50.05,29.0,20.0,35.68,AR,1635199135.0
17,muravlenko,63.7898,74.523,24.51,96.0,100.0,11.48,RU,1635199136.0
18,upernavik,72.7868,-56.1549,15.21,61.0,11.0,5.64,GL,1635198991.0
19,rikitea,-23.1203,-134.9692,75.22,72.0,86.0,20.02,PF,1635198982.0
20,east london,-33.0153,27.9116,64.58,80.0,90.0,14.74,ZA,1635199023.0
22,avarua,-21.2078,-159.775,77.05,61.0,75.0,12.66,CK,1635198981.0
23,leningradskiy,69.3833,178.4167,8.4,94.0,100.0,15.66,RU,1635198995.0
24,goderich,43.7501,-81.7165,44.92,87.0,100.0,17.27,CA,1635199136.0
25,hasanabad,36.5465,61.0543,50.22,43.0,0.0,2.3,IR,1635199137.0
26,saint-georges,12.0564,-61.7485,83.88,74.0,20.0,16.11,GD,1635199028.0
27,severo-kurilsk,50.6789,156.125,42.98,70.0,3.0,9.78,RU,1635199137.0
28,cape town,-33.9258,18.4232,63.88,64.0,0.0,4.0,ZA,1635199137.0
29,taunggyi,20.7833,97.0333,58.37,97.0,12.0,2.8,MM,1635199138.0
30,kapaa,22.0752,-159.319,79.12,86.0,90.0,1.99,US,1635199138.0
31,raymondville,26.4815,-97.7831,93.29,56.0,83.0,13.58,US,1635199108.0
32,ancud,-41.8697,-73.8203,54.43,94.0,100.0,14.61,CL,1635199046.0
33,tabas,33.5959,56.9244,60.37,25.0,0.0,2.04,IR,1635199052.0
35,bengkulu,-3.8004,102.2655,74.44,89.0,100.0,3.4,ID,1635199139.0
36,oistins,13.0667,-59.5333,82.49,74.0,75.0,24.16,BB,1635199139.0
37,butaritari,3.0707,172.7902,81.52,75.0,7.0,7.45,KI,1635199139.0
38,bireun,5.203,96.7009,77.49,84.0,98.0,3.58,ID,1635199140.0
39,qaanaaq,77.484,-69.3632,1.99,58.0,53.0,13.53,GL,1635199140.0
41,port alfred,-33.5906,26.891,62.29,85.0,20.0,14.25,ZA,1635199140.0
42,yerbogachen,61.2767,108.0108,31.51,98.0,100.0,6.96,RU,1635199141.0
43,huarmey,-10.0681,-78.1522,67.12,74.0,9.0,8.77,PE,1635199141.0
44,puerto ayora,-0.7393,-90.3518,75.16,91.0,55.0,8.01,EC,1635199141.0
45,saint george,37.1041,-113.5841,81.07,24.0,100.0,10.0,US,1635199142.0
46,atuona,-9.8,-139.0333,77.22,77.0,19.0,16.13,PF,1635198994.0
47,aljezur,37.3191,-8.8033,59.92,80.0,73.0,9.78,PT,1635199143.0
48,punta arenas,-53.15,-70.9167,42.91,65.0,40.0,26.46,CL,1635199143.0
49,saskylakh,71.9167,114.0833,-1.98,97.0,100.0,2.66,RU,1635199143.0
50,kahului,20.8947,-156.47,82.98,73.0,3.0,11.99,US,1635199102.0
51,new norfolk,-42.7826,147.0587,52.66,59.0,20.0,1.01,AU,1635199144.0
52,pacific grove,36.6177,-121.9166,65.57,78.0,9.0,1.01,US,1635199010.0
53,ribeira grande,38.5167,-28.7,68.16,75.0,64.0,18.5,PT,1635199004.0
54,pevek,69.7008,170.3133,-1.12,96.0,100.0,4.18,RU,1635199144.0
55,radzyn podlaski,51.7833,22.6167,40.33,66.0,72.0,7.67,PL,1635199145.0
56,baoning,25.3378,110.026,53.46,94.0,3.0,0.0,CN,1635199145.0
57,soller,39.7662,2.7152,67.86,80.0,100.0,3.49,ES,1635199145.0
58,brae,60.3964,-1.353,49.91,75.0,97.0,16.31,GB,1635199145.0
59,puerto penasco,31.3167,-113.5333,76.91,78.0,0.0,20.0,MX,1635199146.0
60,diffa,13.3154,12.6113,87.03,21.0,21.0,8.63,NE,1635199146.0
61,saldanha,-33.0117,17.9442,64.45,75.0,55.0,11.23,ZA,1635199146.0
62,victoria,22.2855,114.1577,75.33,76.0,99.0,1.99,HK,1635198983.0
63,tuktoyaktuk,69.4541,-133.0374,30.2,100.0,90.0,5.75,CA,1635199147.0
64,bathsheba,13.2167,-59.5167,83.01,74.0,75.0,24.16,BB,1635199147.0
65,dover,39.1582,-75.5244,75.38,82.0,75.0,13.8,US,1635199147.0
66,hermanus,-34.4187,19.2345,61.81,86.0,38.0,14.67,ZA,1635199148.0
68,znamenskoye,57.1281,73.8282,38.44,96.0,100.0,8.77,RU,1635199148.0
70,lebu,-37.6167,-73.65,54.95,84.0,7.0,13.67,CL,1635199147.0
71,tasiilaq,65.6145,-37.6368,30.38,83.0,100.0,9.26,GL,1635199064.0
73,saint-philippe,-21.3585,55.7679,72.95,82.0,42.0,12.19,RE,1635199149.0
74,pampierstad,-27.7832,24.6877,60.35,84.0,6.0,12.95,ZA,1635199149.0
75,grand gaube,-20.0064,57.6608,70.2,81.0,8.0,1.01,MU,1635199149.0
76,bluff,-46.6,168.3333,54.28,87.0,72.0,5.19,NZ,1635198988.0
77,verkhnyaya tishanka,51.3239,40.5328,31.01,66.0,15.0,4.18,RU,1635199150.0
78,tiksi,71.6872,128.8694,2.41,96.0,98.0,5.03,RU,1635199150.0
79,angoche,-16.2325,39.9086,77.74,90.0,0.0,5.95,MZ,1635199150.0
80,wilmington,34.2257,-77.9447,75.94,79.0,80.0,4.38,US,1635198664.0
81,sao pedro,-22.5486,-47.9139,71.64,68.0,94.0,9.08,BR,1635199151.0
82,shingu,33.7333,135.9833,58.33,87.0,85.0,6.13,JP,1635199151.0
83,iqaluit,63.7506,-68.5145,31.73,86.0,90.0,4.0,CA,1635199151.0
84,marsa matruh,31.3525,27.2453,71.8,73.0,20.0,4.61,EG,1635199152.0
85,santa vitoria do palmar,-33.5189,-53.3681,69.08,66.0,0.0,4.94,BR,1635199152.0
86,kirakira,-10.4544,161.9205,84.63,71.0,22.0,9.37,SB,1635199152.0
87,provideniya,64.3833,-173.3,21.31,58.0,90.0,4.47,RU,1635199153.0
88,novyy starodub,48.5158,33.1733,32.34,59.0,3.0,4.38,UA,1635199153.0
89,dikson,73.5069,80.5464,13.8,83.0,100.0,16.75,RU,1635199153.0
90,vaini,-21.2,-175.2,77.16,83.0,20.0,9.22,TO,1635199154.0
91,yar-sale,66.8333,70.8333,18.72,91.0,95.0,5.21,RU,1635199059.0
92,kuryk,43.2,51.65,49.48,63.0,100.0,20.98,KZ,1635199154.0
93,wellington,-41.2866,174.7756,65.91,70.0,75.0,1.99,NZ,1635199099.0
94,hambantota,6.1241,81.1185,75.54,100.0,100.0,3.44,LK,1635199154.0
